book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
gotobi,USDJPY,2019-06-25 03:55:00,2019-06-25 09:00:00,SELL,107.28894,107.04337,0.28485,signal
gotobi,USDJPY,2019-06-28 03:55:00,2019-06-28 09:00:00,SELL,107.68784,107.70002,0.2773,signal
meanrev,AUDUSD,2019-07-05 01:00:00,2019-07-10 01:00:00,SELL,0.70238,0.69297,0.01085,signal
gotobi,USDJPY,2019-07-05 03:55:00,2019-07-05 09:00:00,SELL,107.85473,107.88162,0.27968,signal
gotobi,USDJPY,2019-07-10 03:55:00,2019-07-10 09:00:00,SELL,108.96928,108.86546,0.28424,signal
gotobi,USDJPY,2019-07-12 03:55:00,2019-07-12 09:00:00,SELL,108.5095,108.33289,0.27447,signal
gotobi,USDJPY,2019-07-19 03:55:00,2019-07-19 09:00:00,SELL,107.48646,107.64249,0.28487,signal
meanrev,AUDUSD,2019-07-22 01:00:00,2019-07-25 01:00:00,SELL,0.70446,0.69767,0.01126,signal
gotobi,USDJPY,2019-07-25 03:55:00,2019-07-25 09:00:00,SELL,108.1566,108.11811,0.28456,signal
meanrev,USDCAD,2019-07-31 01:00:00,2019-08-06 20:00:00,SELL,1.31516,1.32878,0.01362,stop
gotobi,USDJPY,2019-07-31 03:55:00,2019-07-31 09:00:00,SELL,108.60928,108.56062,0.27245,signal
gotobi,USDJPY,2019-08-05 03:55:00,2019-08-05 09:00:00,SELL,106.33143,105.96917,0.33795,signal
gotobi,USDJPY,2019-08-09 03:55:00,2019-08-09 09:00:00,SELL,105.97127,105.91529,0.38793,signal
gotobi,USDJPY,2019-08-15 03:55:00,2019-08-15 09:00:00,SELL,106.0098,105.91464,0.47591,signal
gotobi,USDJPY,2019-08-20 03:55:00,2019-08-20 09:00:00,SELL,106.62727,106.54433,0.50602,signal
gotobi,USDJPY,2019-08-23 03:55:00,2019-08-23 09:00:00,SELL,106.60904,106.63263,0.42676,signal
gotobi,USDJPY,2019-08-30 03:55:00,2019-08-30 09:00:00,SELL,106.42777,106.36484,0.45247,signal
gotobi,USDJPY,2019-09-05 03:55:00,2019-09-05 09:00:00,SELL,106.39725,106.57725,0.36318,signal
meanrev,USDCAD,2019-09-06 01:00:00,2019-09-16 01:00:00,BUY,1.32316,1.3237,0.01616,signal
gotobi,USDJPY,2019-09-10 03:55:00,2019-09-10 09:00:00,SELL,107.42521,107.37649,0.37342,signal
gotobi,USDJPY,2019-09-13 03:55:00,2019-09-13 09:00:00,SELL,108.198,108.12363,0.34178,signal
meanrev,USDJPY,2019-09-20 01:00:00,2019-09-25 01:00:00,SELL,108.04329,107.10708,1.38108,signal
gotobi,USDJPY,2019-09-20 03:55:00,2019-09-20 09:00:00,SELL,108.00286,107.85199,0.27622,signal
gotobi,USDJPY,2019-09-25 03:55:00,2019-09-25 05:42:00,SELL,107.06954,107.35233,0.28279,stop
gotobi,USDJPY,2019-09-30 03:55:00,2019-09-30 09:00:00,SELL,107.91281,107.78614,0.2865,signal
gotobi,USDJPY,2019-10-04 03:55:00,2019-10-04 09:00:00,SELL,106.82419,106.82991,0.32903,signal
meanrev,USDCAD,2019-10-07 01:00:00,2019-10-14 01:00:00,SELL,1.33218,1.32004,0.01458,signal
gotobi,USDJPY,2019-10-10 03:55:00,2019-10-10 04:38:00,SELL,107.31507,107.65857,0.3435,stop
meanrev,USDCAD,2019-10-15 01:00:00,2019-10-22 04:00:00,BUY,1.32282,1.30742,0.0154,stop
gotobi,USDJPY,2019-10-15 03:55:00,2019-10-15 09:00:00,SELL,108.39062,108.32714,0.35625,signal
gotobi,USDJPY,2019-10-18 03:55:00,2019-10-18 09:00:00,SELL,108.67151,108.54317,0.34821,signal
meanrev,AUDUSD,2019-10-25 01:00:00,2019-10-31 05:00:00,SELL,0.68185,0.69272,0.01087,stop
